domain,name,revenue,employees,owner
greenleaflandscaping.com,Greenleaf Landscaping,850000,12,John Smith
bayareaplumbing.com,Bay Area Plumbing Solutions,1200000,15,Maria Garcia
techrepairpros.com,Tech Repair Pros,450000,6,
sweetsdesserts.com,Sweet's Desserts & Bakery,620000,8,Sarah Sweet
summitroofing.com,Summit Roofing & Construction,2100000,25,Mike Thompson
quickcleanservices.com,QuickClean Commercial Services,780000,20,
northstarpetcare.com,North Star Pet Care Center,890000,11,Dr. Jennifer Lee
alphamechanicalservices.com,Alpha Mechanical Services,1450000,18,
coastalhomebuilders.com,Coastal Home Builders,3200000,35,Tom Anderson
peakperformancegym.com,Peak Performance Gym,580000,9,Lisa Martinez
